RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2023-03-08 08:37:20.8999155,9,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,388,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeIdLength"",""#text"":""2""},{""@Name"":""VolumeId"",""#text"":""C:""},{""@Name"":""VolumeLabelLength"",""#text"":""0""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceNameLength"",""#text"":""23""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""DurationUs"",""#text"":""9600""},{""@Name"":""InputFlags"",""#text"":""0xE""},{""@Name"":""Reason"",""#text"":""1""},{""@Name"":""Flags"",""#text"":""0x10""}]}}"
2,2,2023-03-08 08:37:20.8999198,4,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,32,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4001000000000020,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeIdLength"",""#text"":""2""},{""@Name"":""VolumeId"",""#text"":""C:""},{""@Name"":""VolumeLabelLength"",""#text"":""0""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceNameLength"",""#text"":""23""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""Vcb"",""#text"":""0xFFFF82893CF141B0""},{""@Name"":""MountDurationUs"",""#text"":""16023""},{""@Name"":""MountDuration"",""#text"":""16 ms""},{""@Name"":""LongestStage"",""#text"":""7""},{""@Name"":""LongestStageDuration"",""#text"":""16 ms""},{""@Name"":""LongestStagePercentage"",""#text"":""100""},{""@Name"":""SecondLongestStage"",""#text"":""0""},{""@Name"":""SecondLongestStageDuration"",""#text"":""0 us""},{""@Name"":""SecondLongestStagePercentage"",""#text"":""0""},{""@Name"":""RestartApplied"",""#text"":""False""},{""@Name"":""IsBootVolume"",""#text"":""True""},{""@Name"":""Stage1DurationUs"",""#text"":""0""},{""@Name"":""Stage2DurationUs"",""#text"":""0""},{""@Name"":""Stage3DurationUs"",""#text"":""0""},{""@Name"":""Stage4DurationUs"",""#text"":""0""},{""@Name"":""Stage5DurationUs"",""#text"":""0""},{""@Name"":""Stage6DurationUs"",""#text"":""0""},{""@Name"":""Stage7DurationUs"",""#text"":""16023""},{""@Name"":""Stage8DurationUs"",""#text"":""0""},{""@Name"":""Stage9DurationUs"",""#text"":""0""},{""@Name"":""Stage10DurationUs"",""#text"":""0""}]}}"
3,3,2023-03-08 08:37:20.8999273,10,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,388,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeId"",""#text"":""C:""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorId""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""MediaType"",""#text"":""1""},{""@Name"":""RunsCached"",""#text"":""19""},{""@Name"":""LongestRunCached"",""#text"":""97399689216""},{""@Name"":""LongestRunCachedStr"",""#text"":""90.72 GB""},{""@Name"":""MostPopulatedBinCount"",""#text"":""3""},{""@Name"":""MostPopulatedBinMinLength"",""#text"":""0""},{""@Name"":""MostPopulatedBinMinLengthStr"",""#text"":""0 Bytes""},{""@Name"":""MostPopulatedBinMaxLength"",""#text"":""4096""},{""@Name"":""MostPopulatedBinMaxLengthStr"",""#text"":""4 KB""},{""@Name"":""TotalCachedRuns"",""#text"":""1""},{""@Name"":""CachedRunsLogged"",""#text"":""1""},{""@Name"":""CachedRunsAlignment"",""#text"":""1""},{""@Name"":""RunsInCachedRuns"",""#text"":""19""},{""@Name"":""LongestRunInCachedRuns"",""#text"":""97399689216""},{""@Name"":""MostPopulatedBinCountInCachedRuns"",""#text"":""3""},{""@Name"":""MostPopulatedBinMinLengthInCachedRuns"",""#text"":""0""},{""@Name"":""MostPopulatedBinMaxLengthInCachedRuns"",""#text"":""4096""}]}}"
4,4,2023-03-08 08:37:22.3041726,500,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,456,460,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""ProcessName"",""#text"":""System""},{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeNameLength"",""#text"":""2""},{""@Name"":""VolumeName"",""#text"":""C:""},{""@Name"":""JournalId"",""#text"":""0x1D9519933AC1AA9""},{""@Name"":""MaximumSize"",""#text"":""0x2000000""},{""@Name"":""AllocationDelta"",""#text"":""0x800000""}]}}"
5,5,2023-03-08 08:37:27.0125063,142,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,1308,WIN-D7MHOC9OLC8,0,S-1-5-18,NTFS-formatted drive attached,,,VolumeName: C:,IsBootVolume: True,"LowestFreeSpaceInBytes: ","HighestFreeSpaceInBytes: ",,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeGuid"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeNameLength"",""#text"":""2""},{""@Name"":""VolumeName"",""#text"":""C:""},{""@Name"":""IsBootVolume"",""#text"":""True""},{""@Name"":""ElapsedSeconds"",""#text"":""0""},{""@Name"":""AvailabeSpaceMinStr"",""#text"":""89.24 GB""},{""@Name"":""AvailabeSpaceMaxStr"",""#text"":""91.01 GB""},{""@Name"":""AvailabeSpaceDeltaStr"",""#text"":""1.77 GB""},{""@Name"":""AvailableClustersMin"",""#text"":""23391592""},{""@Name"":""AvailableClustersMax"",""#text"":""23855127""},{""@Name"":""UnallocatedClustersMin"",""#text"":""23404952""},{""@Name"":""UnallocatedClustersMax"",""#text"":""23855127""},{""@Name"":""ReservedClustersMin"",""#text"":""0""},{""@Name"":""ReservedClustersMax"",""#text"":""12288""},{""@Name"":""TxfAbortReservedClustersMin"",""#text"":""1024""},{""@Name"":""TxfAbortReservedClustersMax"",""#text"":""1024""},{""@Name"":""PageFileSizeInBytes"",""#text"":""1811939328""},{""@Name"":""PageFileSizeStr"",""#text"":""1.69 GB""},{""@Name"":""VolumeSizeInBytes"",""#text"":""107250446336""},{""@Name"":""VolumeSizeStr"",""#text"":""99.89 GB""},{""@Name"":""ClusterSize"",""#text"":""4096""},{""@Name"":""CachedRunsMissCountForMft"",""#text"":""0""},{""@Name"":""CachedRunsMissCountForMftZone"",""#text"":""2""},{""@Name"":""CachedRunsMissCount"",""#text"":""0""}]}}"
6,6,2023-03-08 08:37:43.4181240,159,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4976,5012,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeNameLength"",""#text"":""2""},{""@Name"":""VolumeName"",""#text"":""C:""},{""@Name"":""FromSize"",""#text"":""102281""},{""@Name"":""ToSize"",""#text"":""101756""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""VolumeSizeChangeOperation"",""#text"":""1""},{""@Name"":""VolumeSizeChangeRequestType"",""#text"":""1""},{""@Name"":""CombinedDurationMs"",""#text"":""0""},{""@Name"":""Stage1DurationMs"",""#text"":""0""},{""@Name"":""Stage2DurationMs"",""#text"":""0""},{""@Name"":""Stage3DurationMs"",""#text"":""0""}]}}"
7,7,2023-03-08 08:37:44.0298597,9,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,1332,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeIdLength"",""#text"":""2""},{""@Name"":""VolumeId"",""#text"":""C:""},{""@Name"":""VolumeLabelLength"",""#text"":""0""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceNameLength"",""#text"":""23""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""DurationUs"",""#text"":""5182""},{""@Name"":""InputFlags"",""#text"":""0xA""},{""@Name"":""Reason"",""#text"":""5""},{""@Name"":""Flags"",""#text"":""0x10""}]}}"
8,8,2023-03-08 08:37:44.0299945,159,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4976,5012,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeNameLength"",""#text"":""2""},{""@Name"":""VolumeName"",""#text"":""C:""},{""@Name"":""FromSize"",""#text"":""102281""},{""@Name"":""ToSize"",""#text"":""101756""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""VolumeSizeChangeOperation"",""#text"":""1""},{""@Name"":""VolumeSizeChangeRequestType"",""#text"":""2""},{""@Name"":""CombinedDurationMs"",""#text"":""15""},{""@Name"":""Stage1DurationMs"",""#text"":""0""},{""@Name"":""Stage2DurationMs"",""#text"":""0""},{""@Name"":""Stage3DurationMs"",""#text"":""15""}]}}"
9,9,2023-03-08 08:37:44.0300281,10,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,1332,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""17a28535-1e81-4f9f-8b4a-85bb7474b0c9""},{""@Name"":""VolumeId"",""#text"":""C:""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorId""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""MediaType"",""#text"":""1""},{""@Name"":""RunsCached"",""#text"":""81""},{""@Name"":""LongestRunCached"",""#text"":""94940450816""},{""@Name"":""LongestRunCachedStr"",""#text"":""88.43 GB""},{""@Name"":""MostPopulatedBinCount"",""#text"":""12""},{""@Name"":""MostPopulatedBinMinLength"",""#text"":""0""},{""@Name"":""MostPopulatedBinMinLengthStr"",""#text"":""0 Bytes""},{""@Name"":""MostPopulatedBinMaxLength"",""#text"":""4096""},{""@Name"":""MostPopulatedBinMaxLengthStr"",""#text"":""4 KB""},{""@Name"":""TotalCachedRuns"",""#text"":""1""},{""@Name"":""CachedRunsLogged"",""#text"":""1""},{""@Name"":""CachedRunsAlignment"",""#text"":""1""},{""@Name"":""RunsInCachedRuns"",""#text"":""81""},{""@Name"":""LongestRunInCachedRuns"",""#text"":""94940450816""},{""@Name"":""MostPopulatedBinCountInCachedRuns"",""#text"":""12""},{""@Name"":""MostPopulatedBinMinLengthInCachedRuns"",""#text"":""0""},{""@Name"":""MostPopulatedBinMaxLengthInCachedRuns"",""#text"":""4096""}]}}"
10,10,2023-03-08 08:37:44.4935570,9,Info,Microsoft-Windows-Ntfs,Microsoft-Windows-Ntfs/Operational,4,1308,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-1\Artifacts\Microsoft-Windows-NTFS.evtx,0x4000000000200000,0,"{""EventData"":{""Data"":[{""@Name"":""VolumeCorrelationId"",""#text"":""c526ee1b-ba64-405c-a85b-a486eddd36cb""},{""@Name"":""VolumeIdLength"",""#text"":""48""},{""@Name"":""VolumeId"",""#text"":""\\\\?\\Volume{c526ee1b-ba64-405c-a85b-a486eddd36cb}""},{""@Name"":""VolumeLabelLength"",""#text"":""0""},{""@Name"":""VolumeLabel""},{""@Name"":""DeviceNameLength"",""#text"":""23""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume4""},{""@Name"":""DeviceGuid"",""#text"":""7b6f1752-bd95-6e22-e3a5-6ee8419ecad7""},{""@Name"":""VendorIdLength"",""#text"":""0""},{""@Name"":""VendorId""},{""@Name"":""ProductIdLength"",""#text"":""24""},{""@Name"":""ProductId"",""#text"":""VMware Virtual NVMe Disk""},{""@Name"":""ProductRevisionLength"",""#text"":""3""},{""@Name"":""ProductRevision"",""#text"":""1.0""},{""@Name"":""DeviceSerialNumberLength"",""#text"":""16""},{""@Name"":""DeviceSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""BusType"",""#text"":""17""},{""@Name"":""AdapterSerialNumberLength"",""#text"":""16""},{""@Name"":""AdapterSerialNumber"",""#text"":""VMWare NVME_0000""},{""@Name"":""DurationUs"",""#text"":""154""},{""@Name"":""InputFlags"",""#text"":""0xE""},{""@Name"":""Reason"",""#text"":""1""},{""@Name"":""Flags"",""#text"":""0x10""}]}}"
